cgn,CG_Subgroup,FCID_Code,FCID_Desc
80,80,8000162000,"Fish-shellfish, mollusc"
86,86A,8601000000,"Water, direct, all sources"
86,86A,8601100000,"Water, direct, tap"
86,86A,8601200000,"Water, direct, bottled"
86,86A,8601300000,"Water, direct, other"
86,86A,8601400000,"Water, direct, source-NS"
86,86B,8602000000,"Water, indirect, all sources"
86,86B,8602100000,"Water, indirect, tap"
86,86B,8602200000,"Water, indirect, bottled"
86,86B,8602300000,"Water, indirect, other"
86,86B,8602400000,"Water, indirect, source-NS"
95,O,9500006000,"Amaranth, grain"
95,O,9500016000,"Artichoke, globe"
95,O,9500054000,Belgium endive
95,O,9500109000,"Cocoa bean, chocolate"
95,O,9500110000,"Cocoa bean, powder"
95,O,9500115000,"Coffee, roasted bean"
95,O,9500116000,"Coffee, instant"
95,O,9500177000,"Grape, leaves"
95,O,9500186000,Honey
95,O,9500186001,Honey-babyfood
95,O,9500186100,Bee pollen
95,O,9500188000,Hop
95,O,9500218000,"Maple, sugar"
95,O,9500219000,Maple syrup
95,O,9500244000,"Palm, oil"
95,O,9500244001,"Palm, oil-babyfood"
95,O,9500263000,Peanut
95,O,9500264000,"Peanut, butter"
95,O,9500265000,"Peanut, oil"
95,O,9500275000,Peppermint
95,O,9500276000,"Peppermint, oil"
95,O,9500306000,"Psyllium, seed"
95,O,9500311000,"Quinoa, grain"
95,O,9500335000,Seaweed
95,O,9500335001,Seaweed-babyfood
95,O,9500352000,Spearmint
95,O,9500353000,"Spearmint, oil"
95,O,9500362000,"Sugarcane, sugar"
95,O,9500362001,"Sugarcane, sugar-babyfood"
95,O,9500363000,"Sugarcane, molasses"
95,O,9500363001,"Sugarcane, molasses-babyfood"
95,O,9500372000,"Tea, dried"
95,O,9500373000,"Tea, instant"
95,O,9500373500,"Teff, flour"
95,O,9500390000,Vinegar
95,O,9500397000,Water chestnut
