codedrug,parent
http://purl.obolibrary.org/obo/CHEBI_35313,http://purl.obolibrary.org/obo/CHEBI_24400
http://purl.obolibrary.org/obo/CHEBI_22625,http://purl.obolibrary.org/obo/CHEBI_23824
http://purl.obolibrary.org/obo/DRON_00015228,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_24662,http://purl.obolibrary.org/obo/CHEBI_25359
http://purl.obolibrary.org/obo/CHEBI_61313,http://purl.obolibrary.org/obo/CHEBI_35341
http://purl.obolibrary.org/obo/CHEBI_33636,http://purl.obolibrary.org/obo/CHEBI_33595
http://purl.obolibrary.org/obo/CHEBI_35972,http://purl.obolibrary.org/obo/CHEBI_35868
http://purl.obolibrary.org/obo/DRON_00017860,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/DRON_00016693,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/DRON_00020081,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_23232,http://purl.obolibrary.org/obo/CHEBI_38443
http://purl.obolibrary.org/obo/DRON_00012838,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_16389,http://purl.obolibrary.org/obo/CHEBI_22729
http://purl.obolibrary.org/obo/DRON_00013576,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_47622,http://purl.obolibrary.org/obo/CHEBI_33308
http://purl.obolibrary.org/obo/CHEBI_33552,http://purl.obolibrary.org/obo/CHEBI_33424
http://purl.obolibrary.org/obo/DRON_00018970,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_35176,http://purl.obolibrary.org/obo/CHEBI_51336
http://purl.obolibrary.org/obo/DRON_00015229,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/DRON_00018981,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/DRON_00016911,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_24533,http://purl.obolibrary.org/obo/CHEBI_23449
http://purl.obolibrary.org/obo/DRON_00019616,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_25903,http://purl.obolibrary.org/obo/CHEBI_16670
http://purl.obolibrary.org/obo/CHEBI_6824,http://purl.obolibrary.org/obo/CHEBI_33640
http://purl.obolibrary.org/obo/CHEBI_35175,http://purl.obolibrary.org/obo/CHEBI_26820
http://purl.obolibrary.org/obo/DRON_00012467,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/DRON_00012637,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_51475,http://purl.obolibrary.org/obo/CHEBI_24646
http://purl.obolibrary.org/obo/CHEBI_50729,http://purl.obolibrary.org/obo/CHEBI_37485
http://purl.obolibrary.org/obo/CHEBI_23443,http://purl.obolibrary.org/obo/CHEBI_32988
http://purl.obolibrary.org/obo/CHEBI_39447,http://purl.obolibrary.org/obo/CHEBI_38313
http://purl.obolibrary.org/obo/CHEBI_15854,http://purl.obolibrary.org/obo/CHEBI_51323
http://purl.obolibrary.org/obo/DRON_00020261,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/DRON_00016067,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/DRON_00018242,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/DRON_00011132,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_5138,http://purl.obolibrary.org/obo/CHEBI_36815
http://purl.obolibrary.org/obo/CHEBI_47788,http://purl.obolibrary.org/obo/CHEBI_35789
http://purl.obolibrary.org/obo/CHEBI_18059,http://purl.obolibrary.org/obo/CHEBI_50860
http://purl.obolibrary.org/obo/CHEBI_23824,http://purl.obolibrary.org/obo/CHEBI_33822
http://purl.obolibrary.org/obo/DRON_00017872,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/DRON_00730836,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_46761,http://purl.obolibrary.org/obo/CHEBI_25676
http://purl.obolibrary.org/obo/CHEBI_29347,http://purl.obolibrary.org/obo/CHEBI_37622
http://purl.obolibrary.org/obo/DRON_00018175,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_38179,http://purl.obolibrary.org/obo/CHEBI_33833
http://purl.obolibrary.org/obo/CHEBI_4470,http://purl.obolibrary.org/obo/CHEBI_25418
http://purl.obolibrary.org/obo/CHEBI_47787,http://purl.obolibrary.org/obo/CHEBI_35789
http://purl.obolibrary.org/obo/CHEBI_50996,http://purl.obolibrary.org/obo/CHEBI_50047
http://purl.obolibrary.org/obo/CHEBI_60911,http://purl.obolibrary.org/obo/CHEBI_60004
http://purl.obolibrary.org/obo/CHEBI_24431,http://purl.obolibrary.org/obo/BFO_0000040
http://purl.obolibrary.org/obo/CHEBI_24780,http://purl.obolibrary.org/obo/CHEBI_23677
http://purl.obolibrary.org/obo/CHEBI_8024,http://purl.obolibrary.org/obo/CHEBI_46668
http://purl.obolibrary.org/obo/DRON_00018758,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_22315,http://purl.obolibrary.org/obo/CHEBI_35352
http://purl.obolibrary.org/obo/CHEBI_35293,http://purl.obolibrary.org/obo/CHEBI_33635
http://purl.obolibrary.org/obo/CHEBI_36688,http://purl.obolibrary.org/obo/CHEBI_33671
http://purl.obolibrary.org/obo/CHEBI_6807,http://purl.obolibrary.org/obo/CHEBI_32876
http://purl.obolibrary.org/obo/DRON_00016225,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_50995,http://purl.obolibrary.org/obo/CHEBI_50047
http://purl.obolibrary.org/obo/DRON_00017004,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_22327,http://purl.obolibrary.org/obo/CHEBI_16385
http://purl.obolibrary.org/obo/DRON_00730827,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/DRON_00018241,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_33637,http://purl.obolibrary.org/obo/CHEBI_35293
http://purl.obolibrary.org/obo/CHEBI_3561,http://purl.obolibrary.org/obo/CHEBI_25384
http://purl.obolibrary.org/obo/DRON_00012655,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_36585,http://purl.obolibrary.org/obo/CHEBI_36586
http://purl.obolibrary.org/obo/DRON_00014712,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_63534,http://purl.obolibrary.org/obo/CHEBI_64365
http://purl.obolibrary.org/obo/DRON_00012887,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/DRON_00730847,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_24261,http://purl.obolibrary.org/obo/CHEBI_36699
http://purl.obolibrary.org/obo/DRON_00010354,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_33521,http://purl.obolibrary.org/obo/CHEBI_33250
http://purl.obolibrary.org/obo/CHEBI_31577,http://purl.obolibrary.org/obo/CHEBI_50047
http://purl.obolibrary.org/obo/CHEBI_33913,http://purl.obolibrary.org/obo/CHEBI_36309
http://purl.obolibrary.org/obo/DRON_00020129,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_51143,http://purl.obolibrary.org/obo/CHEBI_33302
http://purl.obolibrary.org/obo/DRON_00018251,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_24471,http://purl.obolibrary.org/obo/CHEBI_33675
http://purl.obolibrary.org/obo/DRON_00730826,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/DRON_00018678,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/DRON_00019170,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_26216,http://purl.obolibrary.org/obo/CHEBI_22314
http://purl.obolibrary.org/obo/CHEBI_24470,http://purl.obolibrary.org/obo/CHEBI_25359
http://purl.obolibrary.org/obo/CHEBI_18243,http://purl.obolibrary.org/obo/CHEBI_33567
http://purl.obolibrary.org/obo/CHEBI_38180,http://purl.obolibrary.org/obo/CHEBI_33833
http://purl.obolibrary.org/obo/CHEBI_46845,http://purl.obolibrary.org/obo/CHEBI_26144
http://purl.obolibrary.org/obo/DRON_00011638,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_25481,http://purl.obolibrary.org/obo/CHEBI_36141
http://purl.obolibrary.org/obo/DRON_00018759,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/DRON_00014319,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_23089,http://purl.obolibrary.org/obo/CHEBI_25903
http://purl.obolibrary.org/obo/CHEBI_24828,http://purl.obolibrary.org/obo/CHEBI_22728
http://purl.obolibrary.org/obo/CHEBI_36815,http://purl.obolibrary.org/obo/CHEBI_36816
http://purl.obolibrary.org/obo/DRON_00018948,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/DRON_00020128,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/DRON_00018586,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/DRON_00018756,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_38830,http://purl.obolibrary.org/obo/CHEBI_35259
http://purl.obolibrary.org/obo/DRON_00020139,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_24436,http://purl.obolibrary.org/obo/CHEBI_32952
http://purl.obolibrary.org/obo/DRON_00017616,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_37826,http://purl.obolibrary.org/obo/CHEBI_33424
http://purl.obolibrary.org/obo/DRON_00012653,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/DRON_00723864,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/DRON_00014650,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_36838,http://purl.obolibrary.org/obo/CHEBI_35350
http://purl.obolibrary.org/obo/DRON_00016223,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_3048,http://purl.obolibrary.org/obo/CHEBI_50996
http://purl.obolibrary.org/obo/CHEBI_35342,http://purl.obolibrary.org/obo/CHEBI_36838
http://purl.obolibrary.org/obo/BFO_0000002,http://purl.obolibrary.org/obo/BFO_0000001
http://purl.obolibrary.org/obo/CHEBI_24646,http://purl.obolibrary.org/obo/CHEBI_33570
http://purl.obolibrary.org/obo/CHEBI_27786,http://purl.obolibrary.org/obo/CHEBI_23334
http://purl.obolibrary.org/obo/CHEBI_37445,http://purl.obolibrary.org/obo/CHEBI_26375
http://purl.obolibrary.org/obo/CHEBI_39437,http://purl.obolibrary.org/obo/CHEBI_23229
http://purl.obolibrary.org/obo/DRON_00018039,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_33304,http://purl.obolibrary.org/obo/CHEBI_33675
http://purl.obolibrary.org/obo/DRON_00018685,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_33675,http://purl.obolibrary.org/obo/CHEBI_33579
http://purl.obolibrary.org/obo/DRON_00015388,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/DRON_00014129,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/BFO_0000001,http://www.w3.org/2002/07/owl#Thing
http://purl.obolibrary.org/obo/DRON_00010699,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_474053,http://purl.obolibrary.org/obo/CHEBI_23066
http://purl.obolibrary.org/obo/DRON_00018947,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_35627,http://purl.obolibrary.org/obo/CHEBI_24995
http://purl.obolibrary.org/obo/CHEBI_27300,http://purl.obolibrary.org/obo/CHEBI_36853
http://purl.obolibrary.org/obo/CHEBI_26401,http://purl.obolibrary.org/obo/CHEBI_35875
http://purl.obolibrary.org/obo/CHEBI_33234,http://purl.obolibrary.org/obo/CHEBI_23229
http://purl.obolibrary.org/obo/DRON_00015230,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/DRON_00723863,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_28384,http://purl.obolibrary.org/obo/CHEBI_25481
http://purl.obolibrary.org/obo/CHEBI_24278,http://purl.obolibrary.org/obo/CHEBI_35313
http://purl.obolibrary.org/obo/CHEBI_35990,http://purl.obolibrary.org/obo/CHEBI_33635
http://purl.obolibrary.org/obo/DRON_00013033,http://purl.obolibrary.org/obo/OBI_0000047
http://purl.obolibrary.org/obo/CHEBI_33676,http://purl.obolibrary.org/obo/CHEBI_33497
