"MEDICAMENTOA","MEDICAMENTOB","WEIGHT"
"14","219","2"
"2","602","8"
"20","44","3"
"11","325","1"
"0","457","1"
"2067","2082","1"
"2","607","2"
"24589","24590","1"
"20","51","3"
"6","486","1"
"2","601","1"
"10","364","1"
"12","293","1"
"11","335","1"
"14","243","3"
"18","119","3"
"1939","6106","1"
"14","246","1"
"20","60","2"
"14","248","3"
"10","372","9"
"20","64","1"
"14","251","4"
"20","65","4"
"14","253","2"
"20","68","9"
"6","502","1"
"11","349","1"
"18","133","3"
"20","66","1"
"18","120","2"
"20","74","1"
"20","69","1"
"20","76","6"
"14","262","6"
"14","264","4"
"12","324","1"
"6","514","1"
"10","346","1"
"20","82","2"
"2","640","1"
"20","84","1"
"11","364","1"
"20","80","1"
"14","267","4"
"2","646","4"
"10","399","3"
"20","90","1"
"10181","12780","1"
"10181","12781","1"
"10181","12782","1"
"20","94","4"
"17","133","2"
"6065","9119","4"
"12","345","1"
"14","284","1"
"2","657","1"
"6","498","1"
"12","346","2"
"12","349","1"
"3934","9820","1"
"18","166","1"
"4","598","1"
"14","82","1"
"10","417","1"
"14","294","1"
"2","667","1"
"18","144","2"
"18","172","2"
"10","367","1"
"2059","2385","1"
"13","253","1"
"10","425","1"
"12","364","1"
"18","179","1"
"1997","4364","1"
"12","367","3"
"11","399","1"
"20","120","1"
"20","119","3"
"12","371","1"
"20","124","2"
"6","553","1"
"20","123","6"
"12","375","1"
"20","125","1"
"23","36","1"
"2067","2203","1"
"20","131","2"
"20","126","1"
"23","40","2"
"2067","2213","1"
"20","135","1"
"20","136","3"
"20","137","1"
"12","176","1"
"11","418","1"
"12","387","1"
"14","222","1"
"2","595","1"
"14","53","1"
"20","144","8"
"23","52","2"
"11","425","1"
"4051","6258","1"
"12","396","1"
"14","335","2"
"20","149","1"
"2","706","1"
"12","399","2"
"2","711","1"
"20","118","1"
"13","372","1"
"20","156","3"
"20","154","2"
"20","155","2"
"1968","5307","1"
"1996","4440","2"
"12","408","2"
"20","162","3"
"14","349","2"
"2","721","1"
"20","164","3"
"20","166","3"
"12","414","2"
"20","168","1"
"12","417","1"
"23","76","1"
"14","357","1"
"20","172","4"
"4","659","1"
"6","602","1"
"24","51","1"
"16226","22072","1"
"2067","2235","3"
"14","364","2"
"1453","21277","1"
"20","165","2"
"24","57","1"
"12","430","2"
"12","431","3"
"7866","19036","1"
"18","219","1"
"14","372","6"
"18","248","2"
"2","746","2"
"24","65","1"
"1902","7384","1"
"1997","4440","2"
"20","192","1"
"24","69","1"
"17","242","1"
"20","195","4"
"2","754","2"
"13","414","2"
"20","198","1"
"17","172","1"
"20","200","2"
"2","758","2"
"20","202","1"
"12","450","1"
"1811","10219","1"
"2","763","1"
"25","51","3"
"5468","27912","1"
"18","267","2"
"2","767","1"
"2067","2289","1"
"14","361","1"
"23","119","1"
"14","399","3"
"24","90","1"
"14","400","1"
"20","216","6"
"2","774","4"
"14","404","1"
"14","405","1"
"11","496","1"
"20","218","4"
"14","408","1"
"26","31","2"
"2067","2293","1"
"12","467","5"
"1996","4506","4"
"1996","4507","2"
"14","378","2"
"2","787","4"
"1997","4478","1"
"11","510","1"
"2059","2559","1"
"17","248","3"
"1910","7180","1"
"26","28","1"
"25","81","1"
"26","51","1"
"20","147","1"
"14","425","1"
"2","777","1"
"26","40","1"
"2","800","3"
"2","723","1"
"14","430","1"
"6","678","1"
"25","76","1"
"27","30","2"
"27","31","4"
"20","248","4"
"1999","4431","1"
"6","685","1"
"20","251","1"
"4107","4628","1"
"26","68","2"
"4","751","1"
"26","69","3"
"1997","4506","4"
"1997","4507","2"
"6","692","2"
"24","135","1"
"14","444","1"
"24","138","1"
"26","76","1"
"14","450","1"
"20","264","2"
"25","66","1"
"20","261","2"
"24","144","3"
"2072","2193","2"
"2","828","1"
"1899","7557","1"
"14","455","1"
"25","118","1"
"1899","7558","1"
"13","486","1"
"14","462","2"
"2076","2077","1"
"14","461","1"
"20","279","1"
"13","494","1"
"2","839","1"
"2","840","2"
"27","60","3"
"28","33","1"
"27","68","3"
"17","364","1"
"20","287","2"
"11","566","1"
"6","723","1"
"12","538","2"
"20","291","2"
"24","162","1"
"27","76","3"
"27","77","1"
"20","294","2"
"4116","4364","1"
"27","80","1"
"27","81","1"
"14","464","1"
"14","431","3"
"14","487","2"
"27","84","1"
"20","282","1"
"15","431","1"
"26","119","1"
"4","787","1"
"14","493","2"
"14","494","1"
"1811","10303","1"
"11","589","1"
"12","559","1"
"26","126","1"
"10","620","2"
"27","97","1"
"12","563","2"
"26","94","2"
"26","131","2"
"28","69","4"
"25","164","2"
"10","629","1"
"2","878","3"
"12","570","1"
"2","881","2"
"28","76","3"
"12","573","1"
"20","325","3"
"1997","4576","1"
"1969","4980","1"
"26","133","2"
"29","51","1"
"10","631","1"
"29","53","1"
"14","519","2"
"20","324","2"
"20","335","1"
"14","521","2"
"23","243","1"
"12","586","2"
"27","94","2"
"27","123","2"
"24","216","1"
"12","590","1"
"1899","7630","1"
"12","592","1"
"27","125","1"
"20","346","5"
"2","905","1"
"1610","16593","1"
"27","126","1"
"11","629","1"
"23","248","1"
"14","538","1"
"27","136","1"
"14","540","1"
"27","135","1"
"26","164","3"
"26","171","1"
"26","144","1"
"20","344","1"
"27","143","1"
"27","144","4"
"11","641","2"
"28","94","2"
"30","51","1"
"18","372","2"
"13","573","1"
"15","522","1"
"20","368","2"
"30","31","3"
"6","783","1"
"27","154","2"
"12","620","1"
"14","558","5"
"31","33","3"
"20","375","1"
"12","558","1"
"20","377","1"
"20","378","4"
"27","162","2"
"24","220","1"
"27","164","1"
"18","444","1"
"4116","4478","1"
"14","569","2"
"27","168","2"
"30","76","4"
"30","77","1"
"31","46","1"
"27","172","1"
"2","948","1"
"31","50","1"
"31","51","4"
"12","640","3"
"25","239","1"
"2067","2471","1"
"27","176","1"
"2","940","1"
"27","181","1"
"20","399","2"
"2067","2473","1"
"31","60","13"
"26","216","3"
"12","630","2"
"14","590","1"
"20","269","1"
"31","65","4"
"14","592","1"
"7982","15730","1"
"7982","15731","1"
"31","69","4"
"24","287","1"
"18","474","2"
"7982","15732","1"
"11","687","1"
"20","412","2"
"14","602","3"
"31","66","1"
"2067","2497","1"
"20","418","1"
"31","76","10"
"31","80","1"
"14","608","6"
"29","144","2"
"2","979","3"
"30","94","2"
"31","85","1"
"20","427","1"
"20","428","1"
"1945","6290","1"
"2067","2509","2"
"31","90","3"
"2","990","1"
"27","216","4"
"26","248","1"
"31","94","7"
"14","621","2"
"31","81","2"
"2067","2514","1"
"30","84","1"
"31","99","2"
"29","162","2"
"31","101","1"
"14","629","1"
"12","692","4"
"2059","2772","1"
"12","691","1"
"33","44","1"
"24","324","1"
"20","449","2"
"14","636","2"
"30","135","1"
"2","1007","3"
"20","408","2"
"2","1012","1"
"14","641","1"
"30","145","2"
"33","51","2"
"18","520","1"
"30","149","1"
"31","119","7"
"30","136","2"
"20","462","1"
"26","267","2"
"10","753","2"
"27","248","2"
"31","97","1"
"20","467","5"
"2022","3806","1"
"30","81","1"
"24","346","3"
"14","657","1"
"31","131","6"
"14","659","2"
"31","133","8"
"33","69","1"
"11","755","1"
"33","74","1"
"2","1036","5"
"33","76","4"
"31","139","1"
"31","140","5"
"31","141","1"
"31","142","1"
"31","143","1"
"33","82","2"
"27","254","1"
"27","267","2"
"30","178","1"
"31","138","1"
"4116","4576","1"
"31","144","8"
"2048","3150","1"
"30","162","2"
"31","153","1"
"31","154","1"
"18","558","3"
"20","497","2"
"20","498","1"
"14","685","1"
"20","485","1"
"27","269","1"
"17","595","1"
"31","147","5"
"2","1062","1"
"2","1035","1"
"14","692","1"
"30","176","1"
"2048","3176","1"
"31","168","2"
"30","194","1"
"12","759","1"
"11","763","1"
"31","172","4"
"20","514","1"
"31","164","1"
"33","85","2"
"6","951","1"
"31","176","2"
"20","519","1"
"10","829","1"
"31","135","2"
"31","181","1"
"26","337","1"
"28","171","1"
"33","119","4"
"10","836","1"
"31","186","1"
"2077","2276","1"
"33","123","2"
"10","840","1"
"2","1088","1"
"24","408","2"
"31","87","1"
"31","102","1"
"14","721","2"
"31","195","4"
"36","40","1"
"13","689","1"
"14","620","3"
"36","44","1"
"33","60","1"
"24","418","1"
"31","202","2"
"6","972","1"
"2","1103","7"
"28","262","1"
"33","144","2"
"30","147","5"
"3841","13034","1"
"27","242","1"
"33","147","2"
"12","800","1"
"20","553","1"
"33","73","1"
"6","989","2"
"6","990","1"
"31","216","3"
"2","1116","1"
"2","1117","1"
"33","156","1"
"33","155","3"
"12","810","4"
"33","154","1"
"30","254","1"
"37","38","1"
"27","348","1"
"33","164","1"
"14","754","4"
"14","755","1"
"14","746","1"
"11","840","2"
"20","569","2"
"36","76","1"
"31","218","2"
"33","172","1"
"36","65","2"
"26","255","2"
"30","253","1"
"36","68","1"
"31","239","2"
"14","767","1"
"30","251","1"
"33","180","1"
"31","242","2"
"13","787","1"
"13","800","1"
"2","1145","1"
"14","773","2"
"31","248","3"
"36","94","1"
"14","777","1"
"12","840","3"
"33","162","1"
"14","774","4"
"31","253","2"
"36","64","1"
"33","149","1"
"6","861","1"
"6","1018","1"
"20","564","1"
"20","573","1"
"20","602","1"
"26","417","1"
"33","200","3"
"31","264","2"
"33","202","1"
"10","896","1"
"31","267","4"
"27","221","2"
"30","294","1"
"14","607","1"
"6","1046","1"
"26","372","1"
"14","800","2"
"36","119","2"
"33","77","1"
"12","865","2"
"26","431","1"
"13","836","1"
"31","279","1"
"20","620","3"
"26","345","1"
"33","165","2"
"10","868","2"
"20","372","6"
"2","1184","1"
"33","223","1"
"20","628","1"
"33","211","2"
"30","242","1"
"31","262","3"
"13","678","1"
"12","881","1"
"27","362","1"
"20","635","1"
"33","188","1"
"30","156","1"
"23","467","7"
"27","422","1"
"31","68","2"
"20","641","1"
"14","828","1"
"24","518","1"
"6","753","1"
"33","242","1"
"30","335","1"
"28","399","1"
"33","245","1"
"33","246","1"
"2087","2108","2"
"27","434","1"
"4","1145","1"
"14","839","1"
"14","840","2"
"2","1213","2"
"33","253","4"
"12","905","2"
"30","348","1"
"20","659","2"
"28","412","2"
"27","444","1"
"5916","14416","1"
"27","425","1"
"3841","13275","1"
"31","48","1"
"27","449","1"
"33","264","1"
"36","172","2"
"13","865","1"
"31","326","1"
"24","294","1"
"33","269","4"
"12","921","2"
"28","426","1"
"1800","10911","1"
"2","1231","1"
"20","667","1"
"20","678","1"
"1939","6726","1"
"1939","6727","1"
"1939","6728","1"
"1939","6729","1"
"1939","6730","1"
"18","746","1"
"14","868","1"
"5910","14704","1"
"5910","14705","1"
"20","688","1"
"40","69","2"
"31","349","4"
"33","282","1"
"1996","4621","1"
"2","1251","1"
"33","101","1"
"25","540","1"
"40","76","3"
"31","335","1"
"40","78","1"
"27","482","1"
"40","80","2"
"26","515","1"
"40","81","3"
"27","485","1"
"40","83","1"
"40","85","3"
"2","1264","1"
"14","892","1"
"20","708","4"
"31","368","2"
"40","90","1"
"11","990","1"
"27","495","2"
"31","372","3"
"40","94","2"
"33","284","1"
"40","60","4"
"27","464","1"
"31","377","1"
"9956","19948","1"
"33","64","2"
"35","256","2"
"20","721","1"
"13","939","1"
"1860","9217","1"
"27","372","2"
"33","323","2"
"1600","17283","1"
"38","149","1"
"18","620","1"
"40","82","1"
"25","566","1"
"30","422","1"
"24","399","2"
"36","235","1"
"14","921","1"
"2","1293","3"
"30","427","1"
"33","335","3"
"27","522","1"
"31","399","2"
"30","425","1"
"40","119","3"
"40","123","1"
"12","992","1"
"31","404","1"
"40","126","1"
"36","248","2"
"39","156","1"
"31","408","2"
"40","129","1"
"20","751","7"
"33","349","5"
"20","753","5"
"14","939","1"
"12","1002","1"
"2067","2829","1"
"11","1036","1"
"31","417","1"
"24","635","2"
"36","243","1"
"40","131","2"
"27","335","1"
"20","763","3"
"43","51","1"
"40","144","5"
"31","422","1"
"33","364","3"
"11","1046","1"
"40","149","2"
"27","553","1"
"43","52","2"
"31","425","1"
"43","60","5"
"40","154","3"
"27","558","1"
"33","372","1"
"20","777","1"
"33","375","1"
"33","376","2"
"30","434","1"
"27","564","1"
"40","156","1"
"31","421","2"
"23","646","1"
"31","444","2"
"40","165","2"
"20","787","2"
"31","419","1"
"2092","2093","1"
"27","573","1"
"2","1348","2"
"30","482","1"
"43","80","1"
"14","979","6"
"44","51","2"
"25","641","1"
"43","81","2"
"30","485","1"
"27","572","1"
"13","1007","3"
"44","57","1"
"33","399","5"
"31","462","4"
"2","1361","1"
"30","495","2"
"4051","6916","1"
"13","1018","1"
"2","1356","2"
"30","496","1"
"40","169","1"
"31","434","1"
"2","992","3"
"30","97","1"
"6","1248","1"
"33","346","1"
"33","293","1"
"26","631","1"
"1976","5718","1"
"13","1036","1"
"33","417","1"
"28","573","3"
"36","325","1"
"40","202","1"
"31","482","1"
"27","608","2"
"31","485","1"
"6","1251","1"
"33","425","1"
"20","829","1"
"12","942","1"
"33","428","1"
"30","522","1"
"31","491","1"
"33","278","1"
"13","491","1"
"2","1141","1"
"13","1054","1"
"15","993","1"
"40","219","2"
"43","82","5"
